iteration,status,quality,reachedT80,t80,uniqueTargetHits,targetThresholdCount,missingTargetFraction,simulatedTime,stepsExecuted,fieldModel.sources.sources[0].strength,fieldModel.sources.sources[1].strength,fieldModel.sources.sources[2].strength,fieldModel.sources.sources[3].strength,fieldModel.sources.sources[0].sigma,fieldModel.sources.sources[1].sigma,fieldModel.sources.sources[2].sigma,fieldModel.sources.sources[3].sigma,grad_fieldModel.sources.sources[0].strength,grad_fieldModel.sources.sources[1].strength,grad_fieldModel.sources.sources[2].strength,grad_fieldModel.sources.sources[3].strength,grad_fieldModel.sources.sources[0].sigma,grad_fieldModel.sources.sources[1].sigma,grad_fieldModel.sources.sources[2].sigma,grad_fieldModel.sources.sources[3].sigma
0,reached_t80,71.35841369628906,True,71.35841369628906,16,16,0.0,71.35841369628906,71386,-1800.0,-2500.0,-3200.0,-6200.0,50.0,45.0,45.0,50.0,-14.714912414550781,10.090953826904297,6.93218994140625,0.0,-2.537107467651367,28.609704971313477,16.234272003173828,0.0
1,reached_t80,112.13400268554688,True,112.13400268554688,16,16,0.0,112.13400268554688,112184,-1785.2850875854492,-2510.0909538269043,-3206.9321899414062,-4600.0,52.53710746765137,30.0,30.0,50.0,6.9178924560546875,35.003190994262695,-0.03125,7.928497314453125,-8.801162719726562,-48.23349380493164,6.9261932373046875,-6.668834686279297
2,reached_t80,89.55441284179688,True,89.55441284179688,16,16,0.0,89.55441284179688,89592,-1792.202980041504,-2545.094144821167,-3206.9009399414062,-4600.0,55.0,50.0,30.0,55.0,25.683311462402344,-17.186553955078125,0.2458648681640625,-2.9203948974609375,18.935592651367188,-30.633087158203125,30.570587158203125,17.991111755371094
3,reached_t80,77.87283325195312,True,77.87283325195312,16,16,0.0,77.87283325195312,77904,-1817.8862915039062,-2527.907590866089,-3207.1468048095703,-4597.079605102539,36.06440734863281,50.0,30.0,37.008888244628906,-32.32673454284668,-22.49856185913086,-28.647184371948242,-11.629108428955078,-33.73415565490723,-8.156517028808594,31.490692138671875,1.9944038391113281
4,penalized,120.0625,False,,15,16,0.0625,120.00067901611328,120055,-1785.5595569610596,-2505.409029006958,-3200.0,-4585.450496673584,55.0,50.0,30.0,35.01448440551758,-26.04361343383789,11.348262786865234,0.0,0.0,0.0,1.2301788330078125,0.0,0.0
5,reached_t80,66.7939224243164,True,66.7939224243164,16,16,0.0,66.7939224243164,66819,-1759.5159435272217,-2516.7572917938232,-3200.0,-4585.450496673584,55.0,48.76982116699219,30.0,35.01448440551758,-6.842700958251953,0.0,31.131893157958984,1.5286617279052734,-1.0284347534179688,20.213817596435547,18.37090301513672,50.78297817937061
6,penalized,120.125,False,,14,16,0.125,120.00067901611328,120055,-1752.6732425689697,-2516.7572917938232,-3231.131893157959,-4586.979158401489,55.0,30.0,30.0,35.0,-8.901107788085938,0.03125,-9.005012512207031,0.0,43.360557556152344,0.0,0.125,0.0
7,reached_t80,118.54048156738281,True,118.54048156738281,16,16,0.0,118.54048156738281,118594,-1743.7721347808838,-2516.7885417938232,-3222.126880645752,-4586.979158401489,35.0,30.0,30.0,35.0,-21.840957641601562,25.44021224975586,0.0,-15.727357864379883,-38.81566619873047,-38.39989471435547,1.6470184326171875,1.5845184326171875
8,reached_t80,115.19132232666016,True,115.19132232666016,16,16,0.0,115.19132232666016,115243,-1721.9311771392822,-2542.228754043579,-3222.126880645752,-4571.251800537109,55.0,50.0,30.0,35.0,12.753185272216797,-7.362455368041992,-23.231231689453125,3.3611526489257812,55.1956672668457,-4.871177673339844,4.871177673339844,-31.135887145996094
9,reached_t80,63.66463851928711,True,63.66463851928711,16,16,0.0,63.66463851928711,63688,-1734.684362411499,-2534.866298675537,-3200.0,-4574.612953186035,35.0,50.0,30.0,55.0,0.03125,-12.892416000366211,-56.52286148071289,0.0,14.264163970947266,-18.663745880126953,22.209796905517578,-56.58536148071289
10,penalized,120.0625,False,,15,16,0.0625,120.00067901611328,120055,-1734.715612411499,-2521.973882675171,-3200.0,-4574.612953186035,35.0,50.0,30.0,55.0,-0.02698516845703125,0.03125,60.279727935791016,-21.544586181640625,0.0,68.87700271606445,-63.16714096069336,-0.125
11,penalized,120.1875,False,,13,16,0.1875,120.00067901611328,120055,-1734.688627243042,-2522.005132675171,-3260.279727935791,-4553.0683670043945,35.0,30.0,50.0,55.0,0.03125,9.019969940185547,-11.081836700439453,-13.336669921875,-0.0625,-0.0625,35.35249328613281,17.341392517089844
12,reached_t80,74.65360260009766,True,74.65360260009766,16,16,0.0,74.65360260009766,74683,-1734.719877243042,-2531.0251026153564,-3249.1978912353516,-4539.7316970825195,35.0625,30.0625,30.0,37.658607482910156,-20.448762893676758,22.198760986328125,-5.6473236083984375,0.000499725341796875,-10.984080595128676,34.995720358455884,-13.285701751708984,22.766948699951172
13,penalized,120.0625,False,,15,16,0.0625,120.00067901611328,120055,-1714.2711143493652,-2553.2238636016846,-3243.550567626953,-4539.732196807861,46.046580595128674,30.0,43.285701751708984,35.0,6.056171417236328,12.886844635009766,-10.723033905029297,-7.991035461425781,14.36960220336914,0.0,16.1435546875,0.0625
